timestamp,model_name,model_type,calibration_method,threshold,val_f1,val_precision,val_recall,test_f1,test_precision,test_recall,config_hash
2025-11-05T04:25:14,linear_svm_C1.0,classical,isotonic,0.4962815291546639,0.9047619047619048,0.9223300970873787,0.8878504672897196,0.8186528497409327,0.9186046511627907,0.7383177570093458,7c2d7e92aad19e15
2025-11-05T04:55:10,linear_svm_C1.0,classical,isotonic,0.4962815291546639,0.9047619047619048,0.9223300970873787,0.8878504672897196,0.8186528497409327,0.9186046511627907,0.7383177570093458,7c2d7e92aad19e15
2025-11-05T05:12:50,linear_svm_C1.0,classical,isotonic,0.4962815291546639,0.9047619047619048,0.9223300970873787,0.8878504672897196,0.8186528497409327,0.9186046511627907,0.7383177570093458,7c2d7e92aad19e15
2025-11-05T14:43:27,logistic_regression_C10.0,classical,isotonic,0.7188577524734902,0.7984790874524715,0.9210526315789473,0.7046979865771812,0.758893280632411,0.9320388349514563,0.64,0844290312a9fe19
2025-11-05T14:45:30,logistic_regression_C10.0,classical,isotonic,0.7188577524734902,0.7984790874524715,0.9210526315789473,0.7046979865771812,0.758893280632411,0.9320388349514563,0.64,0844290312a9fe19
2025-11-05T14:50:45,logistic_regression_C10.0,classical,isotonic,0.7188577524734902,0.7984790874524715,0.9210526315789473,0.7046979865771812,0.758893280632411,0.9320388349514563,0.64,0844290312a9fe19
2025-11-05T23:52:47,logistic_regression_C10.0,classical,isotonic,0.7188577524734902,0.7984790874524715,0.9210526315789473,0.7046979865771812,0.758893280632411,0.9320388349514563,0.64,081f173e86262287
2025-11-05T23:54:35,logistic_regression_C10.0,classical,isotonic,0.7188577524734902,0.7984790874524715,0.9210526315789473,0.7046979865771812,0.758893280632411,0.9320388349514563,0.64,081f173e86262287
2025-11-06T00:02:12,logistic_regression_C10.0,classical,isotonic,0.7188577524734902,0.7984790874524715,0.9210526315789473,0.7046979865771812,0.758893280632411,0.9320388349514563,0.64,081f173e86262287
2025-11-06T00:06:29,logistic_regression_C10.0,classical,isotonic,0.7188577524734902,0.7984790874524715,0.9210526315789473,0.7046979865771812,0.758893280632411,0.9320388349514563,0.64,081f173e86262287
2025-11-06T00:09:03,logistic_regression_C10.0,classical,isotonic,0.7188577524734902,0.7984790874524715,0.9210526315789473,0.7046979865771812,0.758893280632411,0.9320388349514563,0.64,081f173e86262287
2025-11-06T00:11:16,logistic_regression_C10.0,classical,isotonic,0.7188577524734902,0.7984790874524715,0.9210526315789473,0.7046979865771812,0.758893280632411,0.9320388349514563,0.64,081f173e86262287
2025-11-06T00:23:14,logistic_regression_C10.0,classical,isotonic,0.7188577524734902,0.7984790874524715,0.9210526315789473,0.7046979865771812,0.758893280632411,0.9320388349514563,0.64,081f173e86262287
2025-11-06T00:29:12,logistic_regression_C10.0,classical,isotonic,0.7188577524734902,0.7984790874524715,0.9210526315789473,0.7046979865771812,0.758893280632411,0.9320388349514563,0.64,081f173e86262287
2025-11-06T00:36:12,logistic_regression_C10.0,classical,isotonic,0.7188577524734902,0.7984790874524715,0.9210526315789473,0.7046979865771812,0.758893280632411,0.9320388349514563,0.64,081f173e86262287
2025-11-06T01:08:21,logistic_regression_C10.0,classical,isotonic,0.7188577524734902,0.7984790874524715,0.9210526315789473,0.7046979865771812,0.758893280632411,0.9320388349514563,0.64,081f173e86262287
2025-11-06T01:24:20,linear_svm_C1.0,classical,isotonic,0.5452064366991646,0.8106060606060606,0.9385964912280702,0.7133333333333334,0.789272030651341,0.9196428571428571,0.6912751677852349,081f173e86262287
2025-11-06T01:31:53,linear_svm_C1.0,classical,isotonic,0.5452064366991646,0.8106060606060606,0.9385964912280702,0.7133333333333334,0.789272030651341,0.9196428571428571,0.6912751677852349,081f173e86262287
2025-11-06T01:35:54,linear_svm_C1.0,classical,isotonic,0.5452064366991646,0.8106060606060606,0.9385964912280702,0.7133333333333334,0.789272030651341,0.9196428571428571,0.6912751677852349,081f173e86262287
2025-11-06T01:38:17,linear_svm_C1.0,classical,isotonic,0.5452064366991646,0.8106060606060606,0.9385964912280702,0.7133333333333334,0.789272030651341,0.9196428571428571,0.6912751677852349,081f173e86262287
2025-11-06T01:53:47,linear_svm_C1.0,classical,isotonic,0.5452064366991646,0.8106060606060606,0.9385964912280702,0.7133333333333334,0.789272030651341,0.9196428571428571,0.6912751677852349,081f173e86262287
2025-11-06T01:57:55,linear_svm_C1.0,classical,isotonic,0.5452064366991646,0.8106060606060606,0.9385964912280702,0.7133333333333334,0.789272030651341,0.9196428571428571,0.6912751677852349,081f173e86262287
2025-11-06T02:00:40,linear_svm_C1.0,classical,isotonic,0.5452064366991646,0.8106060606060606,0.9385964912280702,0.7133333333333334,0.789272030651341,0.9196428571428571,0.6912751677852349,081f173e86262287
2025-11-06T02:08:32,linear_svm_C1.0,classical,isotonic,0.5452064366991646,0.8106060606060606,0.9385964912280702,0.7133333333333334,0.789272030651341,0.9196428571428571,0.6912751677852349,081f173e86262287
2025-11-06T02:10:49,linear_svm_C1.0,classical,isotonic,0.5452064366991646,0.8106060606060606,0.9385964912280702,0.7133333333333334,0.789272030651341,0.9196428571428571,0.6912751677852349,081f173e86262287
2025-11-06T02:13:05,linear_svm_C1.0,classical,isotonic,0.5452064366991646,0.8106060606060606,0.9385964912280702,0.7133333333333334,0.789272030651341,0.9196428571428571,0.6912751677852349,081f173e86262287
2025-11-06T02:15:04,linear_svm_C1.0,classical,isotonic,0.5452064366991646,0.8106060606060606,0.9385964912280702,0.7133333333333334,0.789272030651341,0.9196428571428571,0.6912751677852349,081f173e86262287
2025-11-06T02:17:09,linear_svm_C1.0,classical,isotonic,0.5452064366991646,0.8106060606060606,0.9385964912280702,0.7133333333333334,0.789272030651341,0.9196428571428571,0.6912751677852349,081f173e86262287
2025-11-06T02:19:18,linear_svm_C1.0,classical,isotonic,0.5452064366991646,0.8106060606060606,0.9385964912280702,0.7133333333333334,0.789272030651341,0.9196428571428571,0.6912751677852349,081f173e86262287
2025-11-06T02:27:45,linear_svm_C1.0,classical,isotonic,0.5452064366991646,0.8106060606060606,0.9385964912280702,0.7133333333333334,0.789272030651341,0.9196428571428571,0.6912751677852349,081f173e86262287
2025-11-06T02:30:42,linear_svm_C1.0,classical,isotonic,0.5452064366991646,0.8106060606060606,0.9385964912280702,0.7133333333333334,0.789272030651341,0.9196428571428571,0.6912751677852349,081f173e86262287
2025-11-06T02:40:12,linear_svm_C1.0,classical,isotonic,0.5452064366991646,0.8106060606060606,0.9385964912280702,0.7133333333333334,0.789272030651341,0.9196428571428571,0.6912751677852349,081f173e86262287
2025-11-06T02:46:46,linear_svm_C1.0,classical,isotonic,0.5452064366991646,0.8106060606060606,0.9385964912280702,0.7133333333333334,0.789272030651341,0.9196428571428571,0.6912751677852349,081f173e86262287
2025-11-06T16:02:05,linear_svm_C1.0,classical,isotonic,0.5452064366991646,0.8106060606060606,0.9385964912280702,0.7133333333333334,0.789272030651341,0.9196428571428571,0.6912751677852349,081f173e86262287
